﻿Country,cor(health_expenditure),p
Bulgaria,-0.295856678,0.26589305
Brazil,0.052127536,0.847957297
Canada,-0.610790693,0.011960862
Chile,-0.18099257,0.502336662
Norway,0.070100741,0.744810513
Paraguay,0.347581193,0.444916368
Slovenia,-0.583810124,0.017579471
Uruguay,-0.42794843,0.098205556
"Korea, Rep",-0.786453442,0.000302222
Philippines,0.414029675,0.110869816
