,country,cor,p,from,until,supposedDatapoint,realDatapoint,numOfMissingValue,realDataPoint,cor_depression,p_depression,cor_drug_disorder,p_drug_disorder,cor_smoke,p_smoke,cor_gdp,p_gdp,cor_gini,p_gini,cor_sex_ratio,p_ratio,cor_population_density,p_population_density,cor_wage,p_wage,cor_unemployment,p_unemployment,cor_elder,p_elder
70,Puerto Rico,-0.8973186479999999,5.49e-14,1979,2015,37,,0,37,0.8634411184436579,6.722051592043638e-09,-0.3780224584737117,0.051877336015345464,,,-0.894886023,3.57e-14,,,0.675258056,5.85e-05,-0.5763001532510882,0.0001527702546885332,,,0.5658385429999999,0.002096432,-0.7880438545218021,3.8759898527486095e-07
71,France,-0.910581463,1.33e-14,1979,2014,36,,0,36,0.7763216271991853,1.9401801515414245e-06,-0.9242670172076626,5.949843859277293e-12,0.609398494,0.000167087,-0.895250944,3.36e-14,-0.531030667,0.061857340999999996,0.870102791,1.8100000000000002e-09,-0.9264897121813072,7.449595973607002e-17,-0.9548895071001772,1.0830024207480695e-14,0.48231430200000003,0.010839551000000001,-0.866552342216695,2.512100014500078e-09
72,Denmark,-0.914131393,2.7500000000000002e-09,1994,2015,22,,0,22,0.9786903861840296,1.0451900833532543e-18,-0.2260413036163741,0.25691316845035256,0.9405475459999999,4.37e-16,-0.9345647429999999,9.810000000000001e-18,-0.610563902,0.02666357,,,-0.9293836898917134,3.7035479343687393e-17,-0.9514598141072632,2.6566391340737282e-14,0.393981863,0.042011774,,
73,South Africa,0.46289284700000005,0.09555839199999999,2002,2015,14,,0,14,-0.1899251289562061,0.3426933228258339,-0.7725955379199609,2.3333872320190644e-06,-0.7844060190000001,9.42e-06,0.701115871,4.6299999999999994e-05,0.75808886,0.04829019,-0.099787032,0.675527405,,,,,,,0.7166288759122663,0.00037804024796831294
74,Spain,0.157086532,0.360215606,1980,2015,36,,0,36,0.3306622999019153,0.09205886394421814,-0.5971179026741401,0.0010080995954383693,0.16349792300000002,0.36327205100000004,0.029354831,0.861120454,-0.3290594,0.27227772100000003,-0.454834588,0.013175933999999999,-0.05020553672625475,0.7646821281451652,-0.5129935713512002,0.0062131019256085294,,,0.0840657254835305,0.6646055973113212
75,Czech Republic,-0.922104356,1.74e-13,1986,2016,31,,0,31,0.8880485301244732,6.441864665478236e-10,-0.8883675852537718,6.227208401461047e-10,0.6004610979999999,0.000220443,-0.82877374,9.33e-08,0.305594958,0.288003302,-0.797403891,1.33e-07,-0.3336595468229904,0.040639502827712684,-0.8328726574167223,1.5096115000733904e-06,-0.27737484100000004,0.161290452,-0.7653943534420192,8.3443996857827e-07
76,Suriname,0.168303827,0.34914208700000005,1979,2014,36,,3,33,0.7486585907253323,7.0728748094018494e-06,0.5879860890118633,0.0012578960171626664,-0.6162040129999999,0.000134538,0.526269022,0.000689332,,,-0.298135851,0.139055543,0.1611293815332381,0.33383286305090504,,,-0.684909595,8.109999999999999e-05,0.7824120539578971,2.3310171146577163e-06
77,Cuba,-0.928803805,5.89e-11,1992,2015,24,,0,24,0.9717477916683008,3.419224080263565e-17,-0.8867081145199637,7.419346855221065e-10,0.8727699529999999,3.5700000000000003e-11,-0.8100992709999999,1.25e-09,,,,,-0.9675807052252329,4.164479849524343e-23,,,0.95081662,3.12e-14,,
78,Croatia,-0.9368849159999999,3.12e-15,1985,2016,32,,0,32,0.9557047142189332,8.660659335771814e-15,-0.9510922092725891,2.913545457838844e-14,-0.907306308,3.37e-13,-0.89042446,2.85e-08,-0.9606116840000001,0.000148294,0.262574505,0.16097283099999998,0.7935276244122349,2.811768900938516e-09,,,,,-0.9052208984015592,6.423962624878564e-12
79,Germany,-0.949576065,1.3800000000000002e-13,1990,2015,26,,0,26,-0.3730941327204213,0.05526547996640424,-0.906470159632706,7.543953654436855e-11,0.9540201620000001,8.939999999999999e-18,-0.929810678,3.3299999999999994e-17,-0.7972787179999999,0.003291575,-0.950617699,1.0800000000000002e-13,-0.8094376962732774,7.642072331542066e-10,,,,,-0.8635852765744747,1.3427673652356172e-08
80,Canada,-0.9523742890000001,1.37e-18,1979,2013,35,,0,35,0.84162605138827,3.7858961868902616e-08,-0.6936643650281898,6.0160918181791225e-05,0.958668587,1.7700000000000002e-18,-0.906734145,4.5799999999999995e-15,-0.789454413,0.003856081,-0.722168412,2.11e-05,-0.9587807423570546,2.9214832782231805e-21,-0.9253000054804776,5.0398616386977115e-12,0.78110124,1.52e-06,-0.8134403132282977,2.49415300699051e-07
81,Slovenia,-0.9550410490000001,7.47e-17,1985,2015,31,,0,31,0.9752697481174925,6.597325390079316e-18,-0.7449446266126226,8.309786426886231e-06,0.903995406,5.68e-13,,,0.614211459,0.025525432999999997,-0.9467937240000001,8.14e-15,-0.9078716287119092,3.709443435254464e-15,-0.95951130683271,1.8074965620734048e-12,-0.167285488,0.404275238,-0.9289491725036656,3.6300349112672287e-13
82,Serbia,-0.9554097509999999,6.83e-10,1998,2015,18,,0,18,0.9587301835347992,3.6359433010574435e-15,-0.9253880326629154,4.968530896026575e-12,-0.385351105,0.06938801900000001,-0.8067492490000001,5.75e-06,,,-0.43685454799999995,0.06987895,,1.0,,,-0.6611859520000001,0.000173478,-0.8701966006329103,2.6755718606715157e-06
83,Ukraine,-0.330235687,0.064900487,1981,2015,35,,3,32,0.8619842426620851,7.612535042166183e-09,-0.8401474896138859,4.2164186584255335e-08,0.42504527,0.01367277,-0.739051888,3.09e-06,0.871572259,1.18e-06,0.87061,1.7199999999999999e-09,0.5041094152006134,0.001251195916899569,,,0.396746246,0.040465577999999995,-0.3663961708876015,0.055151005352522264
84,Switzerland,-0.96650123,1.12e-12,1995,2015,21,,0,21,0.9591817716072221,3.176511556433493e-15,0.966137949049677,3.1918265085691727e-16,0.8381288729999999,5.979999999999999e-07,-0.9167400440000001,1.87e-11,0.9024829129999999,0.00035119800000000005,,,-0.9855921167846134,2.2057892689622998e-29,-0.9739643366286368,1.2461407889074512e-17,-0.7510473790000001,6.37e-06,,
85,United States of America,-0.12030010099999999,0.47187835200000006,1979,2016,38,,0,38,-0.7653174780246593,3.3137620323143973e-06,0.18412680285792546,0.35790025922766666,0.5582178179999999,0.000736068,-0.11263852099999999,0.500754344,-0.27208588,0.418281549,0.16836218100000003,0.382645271,,,,,,,0.6054657186460484,0.0005010781913247722
86,Finland,-0.97414583,5.62e-19,1987,2015,29,,0,29,0.9713567289314672,4.051722181518302e-17,-0.9768541334383049,2.908246870204896e-18,0.888354848,1.27e-10,-0.88758867,5.820000000000001e-12,0.7803206159999999,0.0016486810000000001,-0.974300429,5.19e-19,-0.982109628730375,1.0559431014181956e-27,-0.9522062139215244,2.1977098379637824e-14,0.31230242399999997,0.11275165300000001,-0.9564404687581619,5.789189052558534e-16
87,Austria,-0.981611307,9.16e-27,1980,2016,37,,0,37,0.9847468954178308,1.6523234344635078e-20,-0.9824854335056102,9.190576943564148e-20,-0.902905436,6.709999999999999e-13,-0.955860501,9.779999999999999e-21,-0.687464243,0.00941451,-0.970410227,8.06e-19,-0.968260499780334,2.8596343652935807e-23,-0.9793139101094528,7.234952236070048e-19,-0.586062063,0.001316868,-0.8849750742308706,8.49168366239304e-11
88,Hungary,-0.985113839,3.96e-29,1979,2016,38,,0,38,0.9383954911330163,4.867117701434121e-13,-0.7261073840899269,1.8083143405102442e-05,0.36791391799999995,0.035158073,-0.9043993509999999,2.34e-10,-0.7550210079999999,0.0011376210000000001,0.82712606,1.75e-08,0.9766311921640624,1.2376859894097414e-25,-0.8274470866341256,2.0287707447933697e-06,0.361759964,0.063713768,-0.8976532742585507,1.7948182277958746e-11
89,Virgin Islands (USA),0.421041059,0.08185252700000001,1980,2015,36,,18,18,0.4756352878335668,0.021794450059502386,0.4540993401837725,0.029508142902641293,,,0.395496461,0.161602871,,,-0.11911990199999999,0.648849617,,,,,,,0.35743436589909483,0.15897437321815622
