LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,Country
ISR,SMOKERS,TOT,PC_POP15,A,2014,17.1,,Isreal
RUS,SMOKERS,TOT,PC_POP15,A,1991,30.0,,Russia
RUS,SMOKERS,TOT,PC_POP15,A,1998,33.9,,Russia
RUS,SMOKERS,TOT,PC_POP15,A,2000,34.9,,Russia
RUS,SMOKERS,TOT,PC_POP15,A,2001,35.1,,Russia
RUS,SMOKERS,TOT,PC_POP15,A,2004,35.8,,Russia
RUS,SMOKERS,TOT,PC_POP15,A,2009,39.4,B,Russia
SVN,SMOKERS,TOT,PC_POP15,A,2001,22.4,,Slovenia
SVN,SMOKERS,TOT,PC_POP15,A,2007,18.9,,Slovenia
SVN,SMOKERS,TOT,PC_POP15,A,2014,18.9,,Slovenia
ZAF,SMOKERS,TOT,PC_POP15,A,2000,23.9,,South Africa
ZAF,SMOKERS,TOT,PC_POP15,A,2005,22.0,,South Africa
ZAF,SMOKERS,TOT,PC_POP15,A,2010,20.3,,South Africa
ZAF,SMOKERS,TOT,PC_POP15,A,2012,19.8,,South Africa
COL,SMOKERS,TOT,PC_POP15,A,2008,17.1,,Colombia
COL,SMOKERS,TOT,PC_POP15,A,2013,16.2,,Colombia
LVA,SMOKERS,TOT,PC_POP15,A,2008,27.9,,Latvia
LVA,SMOKERS,TOT,PC_POP15,A,2014,24.1,,Latvia
LTU,SMOKERS,TOT,PC_POP15,A,2005,24.5,,Lithuania
LTU,SMOKERS,TOT,PC_POP15,A,2014,20.4,,Lithuania
CRI,SMOKERS,TOT,PC_POP15,A,2000,20.8,,Costa Rica
CRI,SMOKERS,TOT,PC_POP15,A,2005,17.7,,Costa Rica
CRI,SMOKERS,TOT,PC_POP15,A,2010,15.4,,Costa Rica
CRI,SMOKERS,TOT,PC_POP15,A,2012,14.5,,Costa Rica
