﻿Country,cor(unemployment),p
Bulgaria,-0.894234951,2.99E-06
Brazil,0.787374058,0.000293994
Canada,-0.144436757,0.593553425
Chile,-0.050934169,0.851401591
Norway,0.00204163,0.99244579
Paraguay,0.440000159,0.323187884
Slovenia,-0.566798097,0.022056983
Uruguay,0.513660151,0.041831746
"Korea, Rep",-0.516551321,0.040498608
Philippines,-0.435557016,0.091733958
